Prime,Target
יאוש,פעולה
ראיון,חיבה
הכחשה,תשלום
כמות,סיבה
התנהגות,כנס
תוכן,עיגול
חדשות,כלל
שיעור,קנאה
תזכורת,מהות
איום,ערב
שמועה,מגדר
הפגנה,חן
כסיל,שנאה
שמחה,כוונה
רמז,פריט
גנינה,סוג
מצב,ידיעה
רוגע,שקר
הגנה,מבט
סכסוך,מדד
דרג,זכות
חצי,שם
תקציב,שבועה
זחילה,קריאה
שבר,עמית
גבול,שבח
בעיה,ציבורי
אויב,עונש
תועלת,נסיגה
הימור,סבב
מונח,סכנה
מימון,פרוסה
גובה,נושא
עלות,חשוד
חשד,ערך
אומללות,עבודה
ציד,דודה
גדר,סל
מברשת,אח
עד,מחנה
מרובע,ליצן
לחות,מאמן
מלט,אלמוג
הליכה,מחלבה
כנסת,צבי
מקהלה,בלש
רבע,יונה
משקיף,שתיה
מבחן,ברווז
פחמן,מאמר
כומר,דגל
בעיטה,פרעוש
ריקוד,מזלג
צרה,קבר
מדריך,שיער
כחול,מכון
דשא,מנהיג
אדמה,עדשה
טיל,נוזל
יסוד,שיש
קרסול,זית
סרט,נמל
כלא,נשיא
יבשה,חלודה
קוף,זרע
ספסל,צל
שקיעה,צורה
חצוצרה,טעם
גופן,חוט
חומר,סדין
מפתח,בוהן
ניצוץ,פועל
