Prime,Target
שומר,דוטה
נביא,תצגון
פתיחה,נח
לידה,נאה
מנעול,הסמגה
שטפון,הקפגה
בועה,המדקה
נחושת,בוזפן
מלחין,צישר
מוצר,הגשקה
מתנה,קפיג
משאבה,אן
עמק,מגבך
פיל,גולץ
שליח,ציש
בטן,הצשרה
מומחה,דח
גלגל,הצנון
יצור,סמג
לב,סחלה
נויה,בכלה
עיתון,שטס
עקרב,עלריד
ברד,קצידה
דירה,מילנה
בקתה,מרבד
ארנק,כמיצה
מזרקה,מסלרה
תייר,דסקנות
קוץ,מגקת
מכללה,גזיג
סרגל,חיד
חצץ,עם
נסיך,הגלקה
שורש,נפלה
עטלף,הגשלה
חנות,נדץ
מיץ,הגקרה
סופר,מגץ
בלם,משדב
צמר,בדלן
וריד,מקמדה
חלוץ,זככה
שבט,הגחור
עיסה,מדסוק
חיוך,שיגת
קציר,גטילה
כלוב,ניז
בשר,מהשגה
עשן,הראחה
להקה,חליגה
בור,אגצה
כינור,סשגות
קצפת,הפתזה
קפיצה,חגת
קפיצה,דיג
נס,עח
נטל,קשרן
תוכנית,קצידה
תאווה,ואדה
חמדנות,שדיבה
יריד,כרשום
מטרה,זדרה
נפילה,לרצה
כבוד,זאמה
גודל,הדקאה
גזרה,מזלק
אסון,קריל
סיוע,מליבות
הסכם,חטשה
הופעה,דאל
בדיחה,גלבה
סיכוי,טשה
צדקה,ההגפה
חג,גא
כיבוש,פלכה
אנחה,אגמקה
כותרת,כשידות
התפרעות,נליצות
גמר,הדשוק
יריב,פינה
איכות,לכיב
יחידה,השיגה
ברכה,נשיז
זוג,עדפט
אופנה,ליף
כישלון,הדפאה
סכום,זא
רעב,כיתה
תפילה,מבדול
רשות,דולק
יתרון,דטקן
הפסד,הדיפה
אירוע,הלמגה
הד,פיברון
הנאה,רבה
גיבור,הלשרה
תוספת,פקיזה
קללה,אהגה
מלכות,מימוף
אמונה,פעה
מושג,טק
מדינה,צממה
דעה,שלירה
גיוון,וגיחה
דרך,בנסן
עסק,טוב
מנחות,ויכוח
