Prime,Target
עז,חיה
תפוח,בננה
מגבת,שמיכה
יתוש,דם
יין,בקבוק
שרשרת,צמיד
מהנדס,בנאי
רצפה,שטיח
רהיט,כסא
אנשים,עיר
רקדן,מועדון
מסמך,חוזה
אזרח,ארץ
קונה,לקוח
עגיל,יהלום
תרופה,רופא
שרוול,שמלה
זריקה,סם
פיל,אוזן
דלת,כניסה
חבילה,מעטפה
משי,בד
מראה,פנים
מבוגר,אב
כרית,נוצה
פרפר,פרח
מקפיא,אוכל
קש,סוס
שכן,בית
מפעל,תעשיה
כרוב,עלה
ספרות,ספריה
כתובת,דואר
פטריה,רעל
תינוק,אמא
צוק,הר
ירח,לילה
שפם,אף
לוויתן,אוקיינוס
שום,בצל
חבר,שותף
ערפד,מפלצת
קמח,אבקה
מחשב,מדפסת
כתר,מלכה
רעם,גשם
משולש,מלבן
מלצר,מסעדה
אצבע,טבעת
לחם,כריך
נייר,מספריים
כתם,חולצה
סבון,מקלחת
עצם,שלד
דג,ריח
צבא,חייל
נחש,עכביש
חום,זיעה
סכין,חרב
מדף,שולחן
דובר,מורה
לטאה,לשון
טירה,מגדל
פרי,ירק
משאית,רכב
עיר,כפר
זמר,קול
כלה,חתונה
רכבת,שריקה
מסגרת,חלון
מזכירה,אישה
פסקה,כתיבה
